date,weekday,name,value
2022-10-04,火,重症者数,2
2022-10-04,火,中等症者数,74
2022-10-05,水,陽性者数累計,1084013
2022-10-05,水,死亡者数累計,1973
2022-10-05,水,うちコロナ感染症を死因とする死亡者数累計,1658
2022-10-05,水,入院中の者の数,500
2022-10-05,水,うち確保病床の入院者数,278
2022-10-05,水,宿泊療養中の者の数,166
2022-10-05,水,重症者数,2
2022-10-05,水,中等症者数,67
2022-10-06,木,陽性者数累計,1085121
2022-10-06,木,死亡者数累計,1976
2022-10-06,木,うちコロナ感染症を死因とする死亡者数累計,1661
2022-10-06,木,入院中の者の数,463
2022-10-06,木,うち確保病床の入院者数,295
2022-10-06,木,宿泊療養中の者の数,158
2022-10-06,木,重症者数,3
2022-10-06,木,中等症者数,60
2022-10-07,金,陽性者数累計,1086073
2022-10-07,金,死亡者数累計,1980
2022-10-07,金,うちコロナ感染症を死因とする死亡者数累計,1663
2022-10-07,金,入院中の者の数,428
2022-10-07,金,うち確保病床の入院者数,267
2022-10-07,金,宿泊療養中の者の数,153
2022-10-07,金,重症者数,3
2022-10-07,金,中等症者数,61
2022-10-08,土,陽性者数累計,1086981
2022-10-08,土,死亡者数累計,1982
2022-10-08,土,うちコロナ感染症を死因とする死亡者数累計,1665
2022-10-08,土,入院中の者の数,435
2022-10-08,土,うち確保病床の入院者数,264
2022-10-08,土,宿泊療養中の者の数,182
2022-10-08,土,重症者数,3
2022-10-08,土,中等症者数,61
2022-10-09,日,陽性者数累計,1087883
2022-10-09,日,死亡者数累計,1984
2022-10-09,日,うちコロナ感染症を死因とする死亡者数累計,1667
2022-10-09,日,入院中の者の数,433
2022-10-09,日,うち確保病床の入院者数,260
2022-10-09,日,宿泊療養中の者の数,168
2022-10-09,日,重症者数,3
2022-10-09,日,中等症者数,59
2022-10-10,月,陽性者数累計,1088212
2022-10-10,月,死亡者数累計,1984
2022-10-10,月,うちコロナ感染症を死因とする死亡者数累計,1667
2022-10-10,月,入院中の者の数,420
2022-10-10,月,うち確保病床の入院者数,263
2022-10-10,月,宿泊療養中の者の数,138
2022-10-10,月,重症者数,3
2022-10-10,月,中等症者数,58
2022-10-11,火,陽性者数累計,1088492
2022-10-11,火,死亡者数累計,1985
2022-10-11,火,うちコロナ感染症を死因とする死亡者数累計,1668
2022-10-11,火,入院中の者の数,415
2022-10-11,火,うち確保病床の入院者数,259
2022-10-11,火,宿泊療養中の者の数,113
2022-10-11,火,重症者数,5
2022-10-11,火,中等症者数,55
2022-10-12,水,陽性者数累計,1089676
2022-10-12,水,死亡者数累計,1991
2022-10-12,水,うちコロナ感染症を死因とする死亡者数累計,1670
2022-10-12,水,入院中の者の数,388
2022-10-12,水,うち確保病床の入院者数,236
2022-10-12,水,宿泊療養中の者の数,112
2022-10-12,水,重症者数,5
2022-10-12,水,中等症者数,42
2022-10-13,木,陽性者数累計,1091252
2022-10-13,木,死亡者数累計,1993
2022-10-13,木,うちコロナ感染症を死因とする死亡者数累計,1672
2022-10-13,木,入院中の者の数,391
2022-10-13,木,うち確保病床の入院者数,220
2022-10-13,木,宿泊療養中の者の数,122
2022-10-13,木,重症者数,2
2022-10-13,木,中等症者数,39
2022-10-14,金,陽性者数累計,1092410
2022-10-14,金,死亡者数累計,1995
2022-10-14,金,うちコロナ感染症を死因とする死亡者数累計,1674
2022-10-14,金,入院中の者の数,368
2022-10-14,金,うち確保病床の入院者数,211
2022-10-14,金,宿泊療養中の者の数,122
2022-10-14,金,重症者数,3
2022-10-14,金,中等症者数,44
2022-10-15,土,陽性者数累計,1093542
2022-10-15,土,死亡者数累計,1999
2022-10-15,土,うちコロナ感染症を死因とする死亡者数累計,1677
2022-10-15,土,入院中の者の数,394
2022-10-15,土,うち確保病床の入院者数,215
2022-10-15,土,宿泊療養中の者の数,118
2022-10-15,土,重症者数,3
2022-10-15,土,中等症者数,46
2022-10-16,日,陽性者数累計,1094534
2022-10-16,日,死亡者数累計,1999
2022-10-16,日,うちコロナ感染症を死因とする死亡者数累計,1677
2022-10-16,日,入院中の者の数,395
2022-10-16,日,うち確保病床の入院者数,225
2022-10-16,日,宿泊療養中の者の数,132
2022-10-16,日,重症者数,3
2022-10-16,日,中等症者数,49
2022-10-17,月,陽性者数累計,1094911
2022-10-17,月,死亡者数累計,2003
2022-10-17,月,うちコロナ感染症を死因とする死亡者数累計,1681
2022-10-17,月,入院中の者の数,328
2022-10-17,月,うち確保病床の入院者数,213
2022-10-17,月,宿泊療養中の者の数,125
2022-10-17,月,重症者数,4
2022-10-17,月,中等症者数,44
2022-10-18,火,陽性者数累計,1096021
2022-10-18,火,死亡者数累計,2007
2022-10-18,火,うちコロナ感染症を死因とする死亡者数累計,1684
2022-10-18,火,入院中の者の数,330
2022-10-18,火,うち確保病床の入院者数,220
2022-10-18,火,宿泊療養中の者の数,132
2022-10-18,火,重症者数,4
2022-10-18,火,中等症者数,45
2022-10-19,水,陽性者数累計,1097519
2022-10-19,水,死亡者数累計,2007
2022-10-19,水,うちコロナ感染症を死因とする死亡者数累計,1684
2022-10-19,水,入院中の者の数,298
2022-10-19,水,うち確保病床の入院者数,223
2022-10-19,水,宿泊療養中の者の数,138
2022-10-19,水,重症者数,4
2022-10-19,水,中等症者数,40
2022-10-20,木,陽性者数累計,1098619
2022-10-20,木,死亡者数累計,2008
2022-10-20,木,うちコロナ感染症を死因とする死亡者数累計,1684
2022-10-20,木,入院中の者の数,299
2022-10-20,木,うち確保病床の入院者数,222
2022-10-20,木,宿泊療養中の者の数,130
2022-10-20,木,重症者数,3
2022-10-20,木,中等症者数,43
2022-10-21,金,陽性者数累計,1099493
2022-10-21,金,死亡者数累計,2009
2022-10-21,金,うちコロナ感染症を死因とする死亡者数累計,1685
2022-10-21,金,入院中の者の数,306
2022-10-21,金,うち確保病床の入院者数,231
2022-10-21,金,宿泊療養中の者の数,153
2022-10-21,金,重症者数,5
2022-10-21,金,中等症者数,45
2022-10-22,土,陽性者数累計,1100400
2022-10-22,土,死亡者数累計,2009
2022-10-22,土,うちコロナ感染症を死因とする死亡者数累計,1685
2022-10-22,土,入院中の者の数,314
2022-10-22,土,うち確保病床の入院者数,233
2022-10-22,土,宿泊療養中の者の数,147
2022-10-22,土,重症者数,5
2022-10-22,土,中等症者数,46
2022-10-23,日,陽性者数累計,1101406
2022-10-23,日,死亡者数累計,2010
2022-10-23,日,うちコロナ感染症を死因とする死亡者数累計,1685
2022-10-23,日,入院中の者の数,301
2022-10-23,日,うち確保病床の入院者数,233
2022-10-23,日,宿泊療養中の者の数,141
2022-10-23,日,重症者数,5
2022-10-23,日,中等症者数,48
2022-10-24,月,陽性者数累計,1101728
2022-10-24,月,死亡者数累計,2011
2022-10-24,月,うちコロナ感染症を死因とする死亡者数累計,1686
2022-10-24,月,入院中の者の数,307
2022-10-24,月,うち確保病床の入院者数,232
2022-10-24,月,宿泊療養中の者の数,109
2022-10-24,月,重症者数,5
2022-10-24,月,中等症者数,49
2022-10-25,火,陽性者数累計,1102960
2022-10-25,火,死亡者数累計,2016
2022-10-25,火,うちコロナ感染症を死因とする死亡者数累計,1688
2022-10-25,火,入院中の者の数,284
2022-10-25,火,うち確保病床の入院者数,240
2022-10-25,火,宿泊療養中の者の数,119
2022-10-25,火,重症者数,3
2022-10-25,火,中等症者数,56
2022-10-26,水,陽性者数累計,1104525
2022-10-26,水,死亡者数累計,2018
2022-10-26,水,うちコロナ感染症を死因とする死亡者数累計,1689
2022-10-26,水,入院中の者の数,262
2022-10-26,水,うち確保病床の入院者数,233
2022-10-26,水,宿泊療養中の者の数,140
2022-10-26,水,重症者数,3
2022-10-26,水,中等症者数,56
2022-10-27,木,陽性者数累計,1105691
2022-10-27,木,死亡者数累計,2020
2022-10-27,木,うちコロナ感染症を死因とする死亡者数累計,1691
2022-10-27,木,入院中の者の数,283
2022-10-27,木,うち確保病床の入院者数,253
2022-10-27,木,宿泊療養中の者の数,150
2022-10-27,木,重症者数,3
2022-10-27,木,中等症者数,65
2022-10-28,金,陽性者数累計,1106773
2022-10-28,金,死亡者数累計,2023
2022-10-28,金,うちコロナ感染症を死因とする死亡者数累計,1692
2022-10-28,金,入院中の者の数,293
2022-10-28,金,うち確保病床の入院者数,255
2022-10-28,金,宿泊療養中の者の数,142
2022-10-28,金,重症者数,3
2022-10-28,金,中等症者数,75
2022-10-29,土,陽性者数累計,1107906
2022-10-29,土,死亡者数累計,2024
2022-10-29,土,うちコロナ感染症を死因とする死亡者数累計,1693
2022-10-29,土,入院中の者の数,308
2022-10-29,土,うち確保病床の入院者数,260
2022-10-29,土,宿泊療養中の者の数,143
2022-10-29,土,重症者数,3
2022-10-29,土,中等症者数,74
2022-10-30,日,陽性者数累計,1109116
2022-10-30,日,死亡者数累計,2024
2022-10-30,日,うちコロナ感染症を死因とする死亡者数累計,1693
2022-10-30,日,入院中の者の数,309
2022-10-30,日,うち確保病床の入院者数,261
2022-10-30,日,宿泊療養中の者の数,140
2022-10-30,日,重症者数,3
2022-10-30,日,中等症者数,74
2022-10-31,月,陽性者数累計,1109458
2022-10-31,月,死亡者数累計,2025
2022-10-31,月,うちコロナ感染症を死因とする死亡者数累計,1694
2022-10-31,月,入院中の者の数,301
2022-10-31,月,うち確保病床の入院者数,266
2022-10-31,月,宿泊療養中の者の数,121
2022-10-31,月,重症者数,2
2022-10-31,月,中等症者数,68
2022-11-01,火,陽性者数累計,1110870
2022-11-01,火,死亡者数累計,2027
2022-11-01,火,うちコロナ感染症を死因とする死亡者数累計,1696
2022-11-01,火,入院中の者の数,344
2022-11-01,火,うち確保病床の入院者数,269
2022-11-01,火,宿泊療養中の者の数,141
2022-11-01,火,重症者数,2
2022-11-01,火,中等症者数,68
2022-11-02,水,陽性者数累計,1112709
2022-11-02,水,死亡者数累計,2028
2022-11-02,水,うちコロナ感染症を死因とする死亡者数累計,1697
2022-11-02,水,入院中の者の数,350
2022-11-02,水,うち確保病床の入院者数,279
2022-11-02,水,宿泊療養中の者の数,146
2022-11-02,水,重症者数,2
2022-11-02,水,中等症者数,65
2022-11-03,木,陽性者数累計,1114397
2022-11-03,木,死亡者数累計,2032
2022-11-03,木,うちコロナ感染症を死因とする死亡者数累計,1701
2022-11-03,木,入院中の者の数,367
2022-11-03,木,うち確保病床の入院者数,287
2022-11-03,木,宿泊療養中の者の数,159
2022-11-03,木,重症者数,3
2022-11-03,木,中等症者数,66
2022-11-04,金,陽性者数累計,1115021
2022-11-04,金,死亡者数累計,2034
2022-11-04,金,うちコロナ感染症を死因とする死亡者数累計,1703
2022-11-04,金,入院中の者の数,390
2022-11-04,金,うち確保病床の入院者数,309
2022-11-04,金,宿泊療養中の者の数,152
2022-11-04,金,重症者数,3
2022-11-04,金,中等症者数,66
2022-11-05,土,陽性者数累計,1116688
2022-11-05,土,死亡者数累計,2034
2022-11-05,土,うちコロナ感染症を死因とする死亡者数累計,1703
2022-11-05,土,入院中の者の数,402
2022-11-05,土,うち確保病床の入院者数,331
2022-11-05,土,宿泊療養中の者の数,156
2022-11-05,土,重症者数,4
2022-11-05,土,中等症者数,75
2022-11-06,日,陽性者数累計,1118671
2022-11-06,日,死亡者数累計,2036
2022-11-06,日,うちコロナ感染症を死因とする死亡者数累計,1704
2022-11-06,日,入院中の者の数,459
2022-11-06,日,うち確保病床の入院者数,355
2022-11-06,日,宿泊療養中の者の数,155
2022-11-06,日,重症者数,4
2022-11-06,日,中等症者数,77
2022-11-07,月,陽性者数累計,1119278
2022-11-07,月,死亡者数累計,2038
2022-11-07,月,うちコロナ感染症を死因とする死亡者数累計,1706
2022-11-07,月,入院中の者の数,463
2022-11-07,月,うち確保病床の入院者数,371
2022-11-07,月,宿泊療養中の者の数,143
2022-11-07,月,重症者数,5
2022-11-07,月,中等症者数,78
2022-11-08,火,陽性者数累計,1121063
2022-11-08,火,死亡者数累計,2041
2022-11-08,火,うちコロナ感染症を死因とする死亡者数累計,1709
2022-11-08,火,入院中の者の数,487
2022-11-08,火,うち確保病床の入院者数,388
2022-11-08,火,宿泊療養中の者の数,160
2022-11-08,火,重症者数,4
2022-11-08,火,中等症者数,84
2022-11-09,水,陽性者数累計,1123497
2022-11-09,水,死亡者数累計,2042
2022-11-09,水,うちコロナ感染症を死因とする死亡者数累計,1710
2022-11-09,水,入院中の者の数,488
2022-11-09,水,うち確保病床の入院者数,404
2022-11-09,水,宿泊療養中の者の数,174
2022-11-09,水,重症者数,3
2022-11-09,水,中等症者数,93
2022-11-10,木,陽性者数累計,1125638
2022-11-10,木,死亡者数累計,2046
2022-11-10,木,うちコロナ感染症を死因とする死亡者数累計,1712
2022-11-10,木,入院中の者の数,497
2022-11-10,木,うち確保病床の入院者数,416
2022-11-10,木,宿泊療養中の者の数,207
2022-11-10,木,重症者数,4
2022-11-10,木,中等症者数,95
2022-11-11,金,陽性者数累計,1127616
2022-11-11,金,死亡者数累計,2049
2022-11-11,金,うちコロナ感染症を死因とする死亡者数累計,1715
2022-11-11,金,入院中の者の数,536
2022-11-11,金,うち確保病床の入院者数,463
2022-11-11,金,宿泊療養中の者の数,213
2022-11-11,金,重症者数,5
2022-11-11,金,中等症者数,100
2022-11-12,土,陽性者数累計,1129663
2022-11-12,土,死亡者数累計,2052
2022-11-12,土,うちコロナ感染症を死因とする死亡者数累計,1718
2022-11-12,土,入院中の者の数,538
2022-11-12,土,うち確保病床の入院者数,475
2022-11-12,土,宿泊療養中の者の数,244
2022-11-12,土,重症者数,5
2022-11-12,土,中等症者数,110
2022-11-13,日,陽性者数累計,1131575
2022-11-13,日,死亡者数累計,2052
2022-11-13,日,うちコロナ感染症を死因とする死亡者数累計,1718
2022-11-13,日,入院中の者の数,576
2022-11-13,日,うち確保病床の入院者数,482
2022-11-13,日,宿泊療養中の者の数,247
2022-11-13,日,重症者数,3
2022-11-13,日,中等症者数,118
2022-11-14,月,陽性者数累計,1132222
2022-11-14,月,死亡者数累計,2056
2022-11-14,月,うちコロナ感染症を死因とする死亡者数累計,1722
2022-11-14,月,入院中の者の数,582
2022-11-14,月,うち確保病床の入院者数,488
2022-11-14,月,宿泊療養中の者の数,225
2022-11-14,月,重症者数,6
2022-11-14,月,中等症者数,107
2022-11-15,火,陽性者数累計,1134582
2022-11-15,火,死亡者数累計,2056
2022-11-15,火,うちコロナ感染症を死因とする死亡者数累計,1722
2022-11-15,火,入院中の者の数,641
2022-11-15,火,うち確保病床の入院者数,488
2022-11-15,火,宿泊療養中の者の数,232
2022-11-15,火,重症者数,5
2022-11-15,火,中等症者数,108
2022-11-16,水,陽性者数累計,1137574
2022-11-16,水,死亡者数累計,2062
2022-11-16,水,うちコロナ感染症を死因とする死亡者数累計,1724
2022-11-16,水,入院中の者の数,641
2022-11-16,水,うち確保病床の入院者数,498
2022-11-16,水,宿泊療養中の者の数,232
2022-11-16,水,重症者数,5
2022-11-16,水,中等症者数,112
2022-11-17,木,陽性者数累計,1139954
2022-11-17,木,死亡者数累計,2064
2022-11-17,木,うちコロナ感染症を死因とする死亡者数累計,1726
2022-11-17,木,入院中の者の数,666
2022-11-17,木,うち確保病床の入院者数,518
2022-11-17,木,宿泊療養中の者の数,237
2022-11-17,木,重症者数,6
2022-11-17,木,中等症者数,112
2022-11-18,金,陽性者数累計,1142143
2022-11-18,金,死亡者数累計,2067
2022-11-18,金,うちコロナ感染症を死因とする死亡者数累計,1729
2022-11-18,金,入院中の者の数,679
2022-11-18,金,うち確保病床の入院者数,527
2022-11-18,金,宿泊療養中の者の数,222
2022-11-18,金,重症者数,5
2022-11-18,金,中等症者数,109
2022-11-19,土,陽性者数累計,1144355
2022-11-19,土,死亡者数累計,2070
2022-11-19,土,うちコロナ感染症を死因とする死亡者数累計,1732
2022-11-19,土,入院中の者の数,696
2022-11-19,土,うち確保病床の入院者数,542
2022-11-19,土,宿泊療養中の者の数,229
2022-11-19,土,重症者数,5
2022-11-19,土,中等症者数,116
2022-11-20,日,陽性者数累計,1146632
2022-11-20,日,死亡者数累計,2071
2022-11-20,日,うちコロナ感染症を死因とする死亡者数累計,1732
2022-11-20,日,入院中の者の数,735
2022-11-20,日,うち確保病床の入院者数,556
2022-11-20,日,宿泊療養中の者の数,241
2022-11-20,日,重症者数,4
2022-11-20,日,中等症者数,126
2022-11-21,月,陽性者数累計,1147298
2022-11-21,月,死亡者数累計,2072
2022-11-21,月,うちコロナ感染症を死因とする死亡者数累計,1733
2022-11-21,月,入院中の者の数,788
2022-11-21,月,うち確保病床の入院者数,581
2022-11-21,月,宿泊療養中の者の数,221
2022-11-21,月,重症者数,5
2022-11-21,月,中等症者数,126
2022-11-22,火,陽性者数累計,1150253
2022-11-22,火,死亡者数累計,2075
2022-11-22,火,うちコロナ感染症を死因とする死亡者数累計,1735
2022-11-22,火,入院中の者の数,808
2022-11-22,火,うち確保病床の入院者数,591
2022-11-22,火,宿泊療養中の者の数,248
2022-11-22,火,重症者数,5
2022-11-22,火,中等症者数,128
2022-11-23,水,陽性者数累計,1153862
2022-11-23,水,死亡者数累計,2077
2022-11-23,水,うちコロナ感染症を死因とする死亡者数累計,1736
2022-11-23,水,入院中の者の数,905
2022-11-23,水,うち確保病床の入院者数,597
2022-11-23,水,宿泊療養中の者の数,271
2022-11-23,水,重症者数,4
2022-11-23,水,中等症者数,130
2022-11-24,木,陽性者数累計,1155201
2022-11-24,木,死亡者数累計,2078
2022-11-24,木,うちコロナ感染症を死因とする死亡者数累計,1736
2022-11-24,木,入院中の者の数,918
2022-11-24,木,うち確保病床の入院者数,616
2022-11-24,木,宿泊療養中の者の数,269
2022-11-24,木,重症者数,2
2022-11-24,木,中等症者数,131
2022-11-25,金,陽性者数累計,1158079
2022-11-25,金,死亡者数累計,2082
2022-11-25,金,うちコロナ感染症を死因とする死亡者数累計,1740
2022-11-25,金,入院中の者の数,930
2022-11-25,金,うち確保病床の入院者数,597
2022-11-25,金,宿泊療養中の者の数,287
2022-11-25,金,重症者数,2
2022-11-25,金,中等症者数,131
2022-11-26,土,陽性者数累計,1161716
2022-11-26,土,死亡者数累計,2083
2022-11-26,土,うちコロナ感染症を死因とする死亡者数累計,1741
2022-11-26,土,入院中の者の数,974
2022-11-26,土,うち確保病床の入院者数,596
2022-11-26,土,宿泊療養中の者の数,307
2022-11-26,土,重症者数,3
2022-11-26,土,中等症者数,131
2022-11-27,日,陽性者数累計,1164694
2022-11-27,日,死亡者数累計,2084
2022-11-27,日,うちコロナ感染症を死因とする死亡者数累計,1742
2022-11-27,日,入院中の者の数,1029
2022-11-27,日,うち確保病床の入院者数,594
2022-11-27,日,宿泊療養中の者の数,312
2022-11-27,日,重症者数,3
2022-11-27,日,中等症者数,137
2022-11-28,月,陽性者数累計,1165720
2022-11-28,月,死亡者数累計,2090
2022-11-28,月,うちコロナ感染症を死因とする死亡者数累計,1747
2022-11-28,月,入院中の者の数,1026
2022-11-28,月,うち確保病床の入院者数,607
2022-11-28,月,宿泊療養中の者の数,283
2022-11-28,月,重症者数,5
2022-11-28,月,中等症者数,140
2022-11-29,火,陽性者数累計,1168862
2022-11-29,火,死亡者数累計,2095
2022-11-29,火,うちコロナ感染症を死因とする死亡者数累計,1750
2022-11-29,火,入院中の者の数,1011
2022-11-29,火,うち確保病床の入院者数,625
2022-11-29,火,宿泊療養中の者の数,310
2022-11-29,火,重症者数,5
2022-11-29,火,中等症者数,138
2022-11-30,水,陽性者数累計,1173194
2022-11-30,水,死亡者数累計,2097
2022-11-30,水,うちコロナ感染症を死因とする死亡者数累計,1751
2022-11-30,水,入院中の者の数,1082
2022-11-30,水,うち確保病床の入院者数,645
2022-11-30,水,宿泊療養中の者の数,336
2022-11-30,水,重症者数,5
2022-11-30,水,中等症者数,144
2022-12-01,木,陽性者数累計,1176764
2022-12-01,木,死亡者数累計,2098
2022-12-01,木,うちコロナ感染症を死因とする死亡者数累計,1752
2022-12-01,木,入院中の者の数,1090
2022-12-01,木,うち確保病床の入院者数,629
2022-12-01,木,宿泊療養中の者の数,338
2022-12-01,木,重症者数,5
2022-12-01,木,中等症者数,131
2022-12-02,金,陽性者数累計,1179923
2022-12-02,金,死亡者数累計,2100
2022-12-02,金,うちコロナ感染症を死因とする死亡者数累計,1754
2022-12-02,金,入院中の者の数,1104
2022-12-02,金,うち確保病床の入院者数,652
2022-12-02,金,宿泊療養中の者の数,330
2022-12-02,金,重症者数,4
2022-12-02,金,中等症者数,136
2022-12-03,土,陽性者数累計,1182917
2022-12-03,土,死亡者数累計,2102
2022-12-03,土,うちコロナ感染症を死因とする死亡者数累計,1755
2022-12-03,土,入院中の者の数,1161
2022-12-03,土,うち確保病床の入院者数,673
2022-12-03,土,宿泊療養中の者の数,332
2022-12-03,土,重症者数,4
2022-12-03,土,中等症者数,140
2022-12-04,日,陽性者数累計,1185757
2022-12-04,日,死亡者数累計,2103
2022-12-04,日,うちコロナ感染症を死因とする死亡者数累計,1756
2022-12-04,日,入院中の者の数,1121
2022-12-04,日,うち確保病床の入院者数,697
2022-12-04,日,宿泊療養中の者の数,334
2022-12-04,日,重症者数,4
2022-12-04,日,中等症者数,149
2022-12-05,月,陽性者数累計,1186945
2022-12-05,月,死亡者数累計,2108
2022-12-05,月,うちコロナ感染症を死因とする死亡者数累計,1761
2022-12-05,月,入院中の者の数,1178
2022-12-05,月,うち確保病床の入院者数,732
2022-12-05,月,宿泊療養中の者の数,291
2022-12-05,月,重症者数,3
2022-12-05,月,中等症者数,171
2022-12-06,火,陽性者数累計,1191045
2022-12-06,火,死亡者数累計,2116
2022-12-06,火,うちコロナ感染症を死因とする死亡者数累計,1768
2022-12-06,火,入院中の者の数,1239
2022-12-06,火,うち確保病床の入院者数,751
2022-12-06,火,宿泊療養中の者の数,297
2022-12-06,火,重症者数,3
2022-12-06,火,中等症者数,179
2022-12-07,水,陽性者数累計,1196666
2022-12-07,水,死亡者数累計,2119
2022-12-07,水,うちコロナ感染症を死因とする死亡者数累計,1769
2022-12-07,水,入院中の者の数,1240
2022-12-07,水,うち確保病床の入院者数,767
2022-12-07,水,宿泊療養中の者の数,333
2022-12-07,水,重症者数,2
2022-12-07,水,中等症者数,179
2022-12-08,木,陽性者数累計,1201831
2022-12-08,木,死亡者数累計,2126
2022-12-08,木,うちコロナ感染症を死因とする死亡者数累計,1776
2022-12-08,木,入院中の者の数,1332
2022-12-08,木,うち確保病床の入院者数,789
2022-12-08,木,宿泊療養中の者の数,379
2022-12-08,木,重症者数,2
2022-12-08,木,中等症者数,186
2022-12-09,金,陽性者数累計,1206731
2022-12-09,金,死亡者数累計,2128
2022-12-09,金,うちコロナ感染症を死因とする死亡者数累計,1778
2022-12-09,金,入院中の者の数,1361
2022-12-09,金,うち確保病床の入院者数,810
2022-12-09,金,宿泊療養中の者の数,416
2022-12-09,金,重症者数,3
2022-12-09,金,中等症者数,184
2022-12-10,土,陽性者数累計,1212067
2022-12-10,土,死亡者数累計,2130
2022-12-10,土,うちコロナ感染症を死因とする死亡者数累計,1779
2022-12-10,土,入院中の者の数,1463
2022-12-10,土,うち確保病床の入院者数,839
2022-12-10,土,宿泊療養中の者の数,462
2022-12-10,土,重症者数,4
2022-12-10,土,中等症者数,183
2022-12-11,日,陽性者数累計,1217092
2022-12-11,日,死亡者数累計,2132
2022-12-11,日,うちコロナ感染症を死因とする死亡者数累計,1781
2022-12-11,日,入院中の者の数,1504
2022-12-11,日,うち確保病床の入院者数,860
2022-12-11,日,宿泊療養中の者の数,481
2022-12-11,日,重症者数,4
2022-12-11,日,中等症者数,187
2022-12-12,月,陽性者数累計,1218814
2022-12-12,月,死亡者数累計,2136
2022-12-12,月,うちコロナ感染症を死因とする死亡者数累計,1783
2022-12-12,月,入院中の者の数,1717
2022-12-12,月,うち確保病床の入院者数,944
2022-12-12,月,宿泊療養中の者の数,447
2022-12-12,月,重症者数,6
2022-12-12,月,中等症者数,214
2022-12-13,火,陽性者数累計,1225501
2022-12-13,火,死亡者数累計,2141
2022-12-13,火,うちコロナ感染症を死因とする死亡者数累計,1786
2022-12-13,火,入院中の者の数,1961
2022-12-13,火,うち確保病床の入院者数,994
2022-12-13,火,宿泊療養中の者の数,466
2022-12-13,火,重症者数,8
2022-12-13,火,中等症者数,238
2022-12-14,水,陽性者数累計,1234584
2022-12-14,水,死亡者数累計,2145
2022-12-14,水,うちコロナ感染症を死因とする死亡者数累計,1790
2022-12-14,水,入院中の者の数,2179
2022-12-14,水,うち確保病床の入院者数,1060
2022-12-14,水,宿泊療養中の者の数,525
2022-12-14,水,重症者数,10
2022-12-14,水,中等症者数,242
2022-12-15,木,陽性者数累計,1242392
2022-12-15,木,死亡者数累計,2153
2022-12-15,木,うちコロナ感染症を死因とする死亡者数累計,1797
2022-12-15,木,入院中の者の数,2281
2022-12-15,木,うち確保病床の入院者数,1095
